Dang tai model YOLOv8l-pose ...
=== Train/climb: 379 video ===
  [171/379] OK 2_18.mp4 -> 90 frame, 11 chuoi
  [172/379] OK 2_19.mp4 -> 84 frame, 9 chuoi
  [173/379] OK 2_2.mp4 -> 114 frame, 15 chuoi
  [174/379] OK 2_20.mp4 -> 107 frame, 14 chuoi
  [175/379] OK 2_3.mp4 -> 64 frame, 5 chuoi
  [176/379] OK 2_4.mp4 -> 75 frame, 8 chuoi
  [177/379] OK 2_5.mp4 -> 110 frame, 15 chuoi
  [178/379] OK 2_6.mp4 -> 109 frame, 14 chuoi
  [179/379] OK 2_7.mp4 -> 59 frame, 4 chuoi
  [180/379] OK 2_8.mp4 -> 81 frame, 9 chuoi
  [181/379] OK 2_9.mp4 -> 87 frame, 10 chuoi
  [182/379] BO QUA 30_1.mp4 (chi co 1 frame co pose < 40)
  [183/379] BO QUA 30_2.mp4 (chi co 1 frame co pose < 40)
  [184/379] OK 34_1.mp4 -> 87 frame, 10 chuoi
  [185/379] OK 34_2.mp4 -> 78 frame, 8 chuoi
  [186/379] OK 34_3.mp4 -> 77 frame, 8 chuoi
  [187/379] OK 53_1.mp4 -> 109 frame, 14 chuoi
  [188/379] OK 53_2.mp4 -> 63 frame, 5 chuoi
  [189/379] OK 53_3.mp4 -> 99 frame, 12 chuoi
  [190/379] OK 53_4.mp4 -> 125 frame, 18 chuoi
  [191/379] OK 54_3.mp4 -> 115 frame, 16 chuoi
  [192/379] OK 55.mp4 -> 63 frame, 5 chuoi
  [193/379] OK 56.mp4 -> 124 frame, 17 chuoi
  [194/379] OK 58_1.mp4 -> 86 frame, 10 chuoi
  [195/379] OK 59.mp4 -> 110 frame, 15 chuoi
  [196/379] OK 60.mp4 -> 53 frame, 3 chuoi
  [197/379] OK 62.mp4 -> 123 frame, 17 chuoi
  [198/379] OK 76.mp4 -> 149 frame, 22 chuoi
  [199/379] OK 78.mp4 -> 73 frame, 7 chuoi
  [200/379] BO QUA 79.mp4 (chi co 27 frame co pose < 40)
  [201/379] OK 7_1.mp4 -> 103 frame, 13 chuoi
  [202/379] OK 7_10.mp4 -> 128 frame, 18 chuoi
  [203/379] OK 7_11.mp4 -> 82 frame, 9 chuoi
  [204/379] OK 7_12.mp4 -> 56 frame, 4 chuoi
  [205/379] OK 7_13.mp4 -> 86 frame, 10 chuoi
  [206/379] OK 7_14.mp4 -> 78 frame, 8 chuoi
  [207/379] OK 7_15.mp4 -> 114 frame, 15 chuoi
  [208/379] OK 7_16.mp4 -> 82 frame, 9 chuoi
  [209/379] OK 7_17.mp4 -> 86 frame, 10 chuoi
  [210/379] OK 7_18.mp4 -> 89 frame, 10 chuoi
  [211/379] OK 7_19.mp4 -> 80 frame, 9 chuoi
  [212/379] OK 7_2.mp4 -> 77 frame, 8 chuoi
  [213/379] OK 7_20.mp4 -> 76 frame, 8 chuoi
  [214/379] OK 7_21.mp4 -> 42 frame, 1 chuoi
  [215/379] BO QUA 7_22.mp4 (chi co 27 frame co pose < 40)
  [216/379] OK 7_3.mp4 -> 56 frame, 4 chuoi
  [217/379] OK 7_4.mp4 -> 92 frame, 11 chuoi
  [218/379] OK 7_5.mp4 -> 96 frame, 12 chuoi
  [219/379] OK 7_6.mp4 -> 75 frame, 8 chuoi
  [220/379] OK 7_7.mp4 -> 62 frame, 5 chuoi
  [221/379] OK 7_8.mp4 -> 105 frame, 14 chuoi
  [222/379] OK 7_9.mp4 -> 95 frame, 12 chuoi
  [223/379] OK 80.mp4 -> 110 frame, 15 chuoi
  [224/379] OK 8_1.mp4 -> 89 frame, 10 chuoi
  [225/379] OK 8_10.mp4 -> 66 frame, 6 chuoi
  [226/379] OK 8_11.mp4 -> 92 frame, 11 chuoi
  [227/379] OK 8_12.mp4 -> 78 frame, 8 chuoi
  [228/379] OK 8_13.mp4 -> 92 frame, 11 chuoi
  [229/379] OK 8_14.mp4 -> 77 frame, 8 chuoi
